deviceName,pm10,pm25,co2,tvoc,temperature,humidity,checkDateTime
sch_컴퓨터실_520,5,5,1543,0,31,37,2023-11-22 13:27
sch_컴퓨터실_520,2,2,1246,98,25,32,2023-11-22 14:00
sch_컴퓨터실_520,3,3,1899,127,23,43,2023-11-22 15:00
sch_컴퓨터실_520,4,4,1434,98,25,36,2023-11-22 16:00
sch_컴퓨터실_520,4,4,1241,48,25,34,2023-11-22 17:00
sch_컴퓨터실_520,2,2,1139,32,24,35,2023-11-22 18:00
sch_컴퓨터실_520,3,3,988,24,24,35,2023-11-22 19:00
sch_컴퓨터실_520,7,4,884,18,24,35,2023-11-22 20:00
sch_컴퓨터실_520,4,3,798,21,24,35,2023-11-22 21:00
sch_컴퓨터실_520,4,4,765,19,24,36,2023-11-22 22:00
sch_컴퓨터실_520,3,3,668,25,24,35,2023-11-22 23:00
sch_컴퓨터실_520,4,2,705,27,23,38,2023-11-23 0:00
sch_컴퓨터실_520,3,3,572,30,24,35,2023-11-23 1:00
sch_컴퓨터실_520,2,2,628,37,23,38,2023-11-23 2:00
sch_컴퓨터실_520,2,2,601,42,23,38,2023-11-23 3:00
sch_컴퓨터실_520,2,2,585,47,24,38,2023-11-23 4:00
sch_컴퓨터실_520,3,2,569,49,24,39,2023-11-23 5:00
sch_컴퓨터실_520,2,2,560,50,24,39,2023-11-23 6:00
sch_컴퓨터실_520,4,2,553,54,24,39,2023-11-23 7:00
sch_컴퓨터실_520,4,4,545,53,24,39,2023-11-23 8:00
sch_컴퓨터실_520,6,6,539,56,24,39,2023-11-23 9:00
sch_컴퓨터실_520,10,7,675,76,24,41,2023-11-23 10:00
sch_컴퓨터실_520,9,9,1259,192,24,44,2023-11-23 11:00
sch_컴퓨터실_520,13,10,954,122,26,37,2023-11-23 12:00
sch_컴퓨터실_520,19,13,1145,116,25,41,2023-11-23 13:00
sch_컴퓨터실_520,15,14,1509,135,25,44,2023-11-23 14:00
sch_컴퓨터실_520,15,13,1213,121,26,39,2023-11-23 15:00
sch_컴퓨터실_520,14,10,1246,125,26,39,2023-11-23 16:00
sch_컴퓨터실_520,14,11,1165,97,26,37,2023-11-23 17:00
sch_컴퓨터실_520,7,6,935,63,26,36,2023-11-23 18:00
sch_컴퓨터실_520,11,10,759,37,25,36,2023-11-23 19:00
sch_컴퓨터실_520,5,4,682,32,25,34,2023-11-23 20:00
